Fecha;Último;Apertura;Máximo;Mínimo;Vol.;% var.
04.01.2021;1.969,40;1.934,70;1.967,80;1.934,70;0,34K;3,57%
04.01.2022;1.817,00;1.804,50;1.819,50;1.800,60;10,86K;0,81%
04.02.2021;1.803,50;1.829,00;1.829,00;1.826,70;0,01K;-2,39%
04.02.2022;1.807,80;1.805,40;1.815,80;1.792,10;177,71K;0,21%
04.03.2021;1.714,30;1.723,50;1.724,80;1.704,00;0,01K;-0,86%
04.03.2022;1.966,60;1.938,50;1.974,90;1.931,50;241,53K;1,59%
04.05.2021;1.786,40;1.790,80;1.806,70;1.784,20;0,16K;-0,82%
04.06.2021;1.899,20;1.879,90;1.896,50;1.879,30;0,12K;0,99%
04.08.2021;1.818,20;1.821,00;1.839,60;1.813,40;1,09K;0,02%
04.10.2021;1.770,60;1.764,50;1.774,00;1.752,00;0,75K;0,52%
04.11.2021;1.797,10;1.781,90;1.803,20;1.774,60;3,73K;1,67%
05.01.2021;1.977,60;1.965,30;1.975,50;1.965,30;0,00K;0,42%
05.01.2022;1.827,50;1.817,00;1.832,60;1.811,60;10,32K;0,58%
05.02.2021;1.825,60;1.813,00;1.823,80;1.813,00;0,11K;1,23%
05.03.2021;1.712,90;1.700,00;1.700,00;1.700,00;0,00K;-0,08%
05.04.2021;1.737,70;1.737,20;1.737,20;1.737,20;0,01K;0,05%
05.05.2021;1.794,50;1.789,10;1.789,10;1.789,10;0,16K;0,45%
05.07.2021;1.791,30;1.786,50;1.794,65;1.784,75;-;0,27%
05.08.2021;1.812,80;1.816,30;1.819,40;1.804,50;0,36K;-0,30%
05.09.2021;1.830,05;1.832,20;1.832,50;1.829,65;-;-0,40%
05.10.2021;1.764,20;1.769,00;1.769,00;1.752,70;1,43K;-0,36%
05.11.2021;1.820,60;1.799,20;1.823,00;1.789,20;4,13K;1,31%
06.01.2021;1.932,30;1.971,70;1.971,70;1.971,70;0,01K;-2,29%
06.01.2022;1.791,50;1.813,50;1.813,70;1.788,00;33,20K;-1,97%
06.04.2021;1.751,80;1.738,10;1.748,50;1.738,00;0,05K;0,81%
06.05.2021;1.825,50;1.823,60;1.824,30;1.823,40;0,17K;1,73%
06.07.2021;1.801,80;1.795,20;1.821,50;1.794,10;0,43K;0,59%
06.08.2021;1.767,20;1.805,20;1.808,00;1.764,50;2,08K;-2,52%
06.09.2021;1.825,65;1.829,95;1.830,65;1.823,65;-;-0,24%
06.10.2021;1.765,10;1.759,40;1.768,80;1.749,50;1,07K;0,05%
06.12.2021;1.781,50;1.790,00;1.790,10;1.778,70;2,89K;-0,24%
07.01.2021;1.935,50;1.944,20;1.946,70;1.932,50;0,00K;0,17%
07.01.2022;1.799,90;1.793,00;1.800,70;1.783,80;71,89K;0,47%
07.02.2022;1.821,80;1.808,00;1.824,60;1.807,50;139,81K;0,77%
07.03.2022;1.995,90;1.978,50;2.007,50;1.964,20;372,19K;1,49%
07.04.2021;1.750,30;1.751,50;1.751,50;1.742,40;0,02K;-0,09%
07.05.2021;1.841,20;1.830,50;1.851,00;1.828,50;0,16K;0,86%
07.06.2021;1.906,10;1.895,30;1.895,30;1.895,30;0,12K;0,36%
07.07.2021;1.809,60;1.811,00;1.812,80;1.809,80;0,36K;0,43%
07.09.2021;1.802,30;1.835,00;1.835,00;1.798,60;1,22K;-1,28%
07.10.2021;1.762,70;1.763,00;1.769,90;1.755,90;3,05K;-0,14%
07.12.2021;1.786,80;1.782,10;1.791,20;1.774,50;5,25K;0,30%
08.01.2021;1.856,90;1.935,80;1.935,80;1.850,00;0,00K;-4,06%
08.02.2021;1.845,00;1.830,80;1.847,40;1.830,80;0,00K;1,06%
